word,count
not,70
enough,19
many,16
also,16
American,15
right,13
great,10
hard,10
new,9
never,8
better,8
long,8
together,8
last,7
possible,7
even,7
So,7
simply,7
political,7
serious,6
clear,6
next,6
best,6
good,5
real,5
much,5
true,5
tough,5
less,5
still,5
willing,5
future,5
far,5
well,5
safe,5
first,5
Now,5
finally,5
common,4
nuclear,4
open,4
strong,4
instead,4
difficult,4
easy,4
away,4
small,4
else,4
economic,4
entire,4
already,4
worst,4
always,4
honest,3
little,3
ago,3
different,3
free,3
ahead,3
freedom,3
dangerous,3
important,3
fundamental,3
effective,3
ready,3
Not,3
higher,3
likely,3
certain,3
military,3
failure,3
especially,3
young,3
need,3
ever,3
exactly,3
significant,3
greater,3
big,3
flag-draped,2
fair,2
Such,2
renewable,2
responsible,2
self-interest,2
victory,2
greatest,2
simple,2
everywhere,2
foreign,2
similar,2
able,2
fuel-efficient,2
final,2
firmly,2
forward,2
acceptable,2
second,2
regional,2
legacy,2
’,2
necessary,2
nearly,2
national,2
yet,2
matter,2
Enough,2
Fortunately,2
lower,2
lot,2
longer,2
often,2
old,2
larger,2
regard,2
partisan,2
past,2
keep,2
perfect,2
petty,2
international,2
interested,2
More,2
individual,2
impossible,2
public,2
high,2
really,2
equal,2
African,2
civil,2
sometimes,2
critical,2
sure,2
broader,2
destiny,2
broken,2
special,2
believe,2
collective,2
close,2
almost,2
tired,2
bad,2
back,2
anymore,2
affordable,2
desperately,2
timidity,1
unite,1
particularly,1
timetable,1
plan,1
thoughtful,1
overseas,1
unprecedented,1
won't-do,1
won't-even-try,1
policy-by-slogan,1
third,1
politically,1
wide,1
powerful,1
powerfully,1
presumptuousness,1
therefore,1
private,1
probably,1
productive,1
profound,1
progress,1
told,1
original,1
worn-out,1
obvious,1
typical,1
twenty-first,1
twenty,1
nice,1
twentieth,1
no-bid,1
turn,1
nomination,1
non-proliferation,1
truly,1
unfulfilled,1
notion,1
uninsured,1
yes,1
trivial,1
overly-rigid,1
tribal,1
wrong,1
official,1
tremendous,1
tragic,1
oldest,1
tonight,1
opponent,1
oppose,1
ordinary,1
worse,1
tolerant,1
proud,1
outside,1
prosperous,1
thank,1
provide,1
sensational,1
spite,1
vast,1
sew,1
settle,1
spur,1
sensible,1
selfish,1
steadfast,1
stagnant,1
select,1
stale,1
statistic,1
ultimately,1
scare,1
spent,1
specific,1
significantly,1
speak,1
soul-trying,1
sooner,1
use,1
urgent,1
solar,1
smart,1
next-generation,1
uphold,1
skewed,1
slough,1
unwanted,1
slowly,1
unseen,1
saw,1
vital,1
universal,1
temporarily,1
surely,1
wherever,1
regardless,1
talent,1
recently,1
recent,1
temptation,1
safeguard,1
tempting,1
realistic,1
ten,1
terrorist,1
rationale,1
publicly,1
succumb,1
weak,1
substantial,1
repressive,1
warmth,1
respectful,1
subordinate,1
stupid,1
rich,1
struggles,1
strongest,1
robust,1
stronger,1
rubble,1
strategically,1
want,1
unnecessary,1
understand,1
intelligent,1
mutual,1
clean,1
corporate,1
conventional,1
convene,1
consistent,1
concrete,1
conceivable,1
committed,1
closed-door,1
civilian,1
creatively,1
civic,1
chronically,1
chronic,1
chemical,1
cheap,1
certainly,1
build,1
brightest,1
create,1
crippling,1
due,1
direct,1
divided,1
distant,1
dismiss,1
dismantle,1
disillusionment,1
disastrous,1
disagreeable,1
disagree,1
diplomatic,1
critically,1
determine,1
desperate,1
deeply,1
deepest,1
decent,1
cynicism,1
crucial,1
crowd,1
bloated,1
biological,1
biggest,1
Most,1
accept,1
absolutely,1
Yet,1
Well,1
Rather,1
Nunn-Lugar,1
Never,1
Much,1
Moreover,1
bigger,1
Many,1
Kenyan,1
Instead,1
Individual,1
Good,1
Democratic,1
Certainly,1
British,1
accessible,1
accountable,1
act,1
active,1
benefit,1
basic,1
bankrupt,1
available,1
ask,1
army,1
armor,1
argument,1
anonymous,1
alternative,1
alone,1
al,1
agree,1
advantageous,1
administrative,1
adjust,1
add,1
divvy,1
early,1
modest,1
impose,1
involved,1
invest,1
inexcusable,1
indigenous,1
independent,1
increasingly,1
improbable,1
impressive,1
imperfect,1
keeps,1
imagine,1
ill-conceived,1
ill,1
ignore,1
ideological,1
human,1
however,1
hostile,1
judgment,1
key,1
ease,1
load,1
medical,1
mean,1
magical,1
magic,1
low-enriched,1
love,1
local,1
lobbyist,1
likeliest,1
know,1
lift,1
lifetime,1
lie,1
let,1
lead,1
later,1
lately,1
large,1
hopeful,1
homegrown,1
hole,1
extended,1
fellow,1
federal,1
fed,1
fear,1
father,1
faster,1
farthest,1
extraordinarily,1
exacerbated,1
historical,1
eve,1
essential,1
engaging,1
empty,1
eighty,1
effectively,1
easiest,1
easier,1
fight,1
financial,1
fine,1
finished,1
historic,1
heavy,1
heartbroken,1
hear,1
harm,1
harder,1
happy,1
give,1
gifts,1
funny,1
funnel,1
full,1
fugitive,1
fresh,1
fought,1
focus,1
fissile,1
“,1
